[Pelotas]
-31.7440805471133,-52.4039268493652
-31.7653914612366,-52.3953437805176
-31.7702076318667,-52.3671913146973
-31.7842168844874,-52.3539733886719
-31.7880106918816,-52.3448753356934
-31.7831954482074,-52.3309707641602
-31.7829036071979,-52.3201560974121
-31.7756072826237,-52.3081398010254
-31.7697698085325,-52.3038482666016
-31.7633481615968,-52.2978401184082
-31.7596993000239,-52.2909736633301
-31.7637860153178,-52.2746658325195
-31.76856578368,-52.2598600387573
-31.7674347157577,-52.2463417053223
-31.7780880975644,-52.2396469116211
-31.7769206635281,-52.2212791442871
-31.7664130941371,-52.2250556945801
-31.7518172680766,-52.2231674194336
-31.7446644731343,-52.2157859802246
-31.7379491016121,-52.2284889221191
-31.7524011453104,-52.2494316101074
-31.7491897749571,-52.2746658325195
-31.742036777046,-52.2870254516602
-31.7307952355509,-52.3041915893555
-31.7185301800911,-52.2995567321777
-31.7107906790752,-52.3072814941406
-31.6970624280313,-52.3026466369629
-31.6935570170678,-52.3232460021973
-31.6821635169004,-52.3443603515625
