[Pelotas]
-31.70232029615697,-52.35036849975586
-31.714733524471544,-52.32067108154297
-31.7230567585772,-52.32856750488281
-31.737511125687814,-52.31157302856445
-31.73006521815907,-52.30264663696289
-31.742182762117974,-52.28548049926758
-31.754006788716033,-52.25595474243164
-31.729189189697035,-52.221622467041016
-31.739992961878468,-52.21029281616211
-31.780568845963327,-52.22522735595703
-31.76305625796518,-52.29612350463867
-31.782174000644307,-52.317237854003906
-31.784070965709624,-52.341957092285156
-31.775023551791122,-52.367191314697266
-31.76466171654456,-52.39208221435547
-31.746270250707457,-52.4073600769043
-31.716485846385325,-52.36976623535156
